,Aciklamalar,tarih_baslangic,tarih_bitis,il,haftalik_vaka_sayisi
,,06.03.2021,12.03.2021,Yalova,200
,,06.03.2021,12.03.2021,Yozgat,46
,,06.03.2021,12.03.2021,Zonguldak,75
,,13.03.2021,19.03.2021,Adana,62
,,13.03.2021,19.03.2021,Adıyaman,170
,,13.03.2021,19.03.2021,Afyon,47
,,13.03.2021,19.03.2021,Ağrı,41
,,13.03.2021,19.03.2021,Aksaray,214
,,13.03.2021,19.03.2021,Amasya,194
,,13.03.2021,19.03.2021,Ankara,108
,,13.03.2021,19.03.2021,Antalya,119
,,13.03.2021,19.03.2021,Ardahan,86
,,13.03.2021,19.03.2021,Artvin,114
,,13.03.2021,19.03.2021,Aydın,69
,,13.03.2021,19.03.2021,Balıkesir,288
,,13.03.2021,19.03.2021,Bartın,77
,,13.03.2021,19.03.2021,Batman,29
,,13.03.2021,19.03.2021,Bayburt,74
,,13.03.2021,19.03.2021,Bilecik,114
,,13.03.2021,19.03.2021,Bingöl,48
,,13.03.2021,19.03.2021,Bitlis,23
,,13.03.2021,19.03.2021,Bolu,100
,,13.03.2021,19.03.2021,Burdur,72
,,13.03.2021,19.03.2021,Bursa,97
,,13.03.2021,19.03.2021,Çanakkale,203
,,13.03.2021,19.03.2021,Çankırı,123
,,13.03.2021,19.03.2021,Çorum,139
,,13.03.2021,19.03.2021,Denizli,49
,,13.03.2021,19.03.2021,Diyarbakır,19
,,13.03.2021,19.03.2021,Düzce,95
,,13.03.2021,19.03.2021,Edirne,219
,,13.03.2021,19.03.2021,Elazığ,80
,,13.03.2021,19.03.2021,Erzincan,124
,,13.03.2021,19.03.2021,Erzurum,72
,,13.03.2021,19.03.2021,Eskişehir,117
,,13.03.2021,19.03.2021,Gaziantep,87
,,13.03.2021,19.03.2021,Giresun,356
,,13.03.2021,19.03.2021,Gümüşhane,105
,,13.03.2021,19.03.2021,Hakkari,16
,,13.03.2021,19.03.2021,Hatay,62
,,13.03.2021,19.03.2021,Iğdır,107
,,13.03.2021,19.03.2021,Isparta,74
,,13.03.2021,19.03.2021,Istanbul,251
,,13.03.2021,19.03.2021,Izmir,111
,,13.03.2021,19.03.2021,Kahramanmaraş,67
,,13.03.2021,19.03.2021,Karabük,84
,,13.03.2021,19.03.2021,Karaman,89
,,13.03.2021,19.03.2021,Kars,31
,,13.03.2021,19.03.2021,Kastamonu,197
,,13.03.2021,19.03.2021,Kayseri,196
,,13.03.2021,19.03.2021,Kırıkkale,74
,,13.03.2021,19.03.2021,Kırklareli,155
,,13.03.2021,19.03.2021,Kırşehir,61
,,13.03.2021,19.03.2021,Kilis,258
,,13.03.2021,19.03.2021,Kocaeli,176
,,13.03.2021,19.03.2021,Konya,252
,,13.03.2021,19.03.2021,Kütahya,111
,,13.03.2021,19.03.2021,Malatya,141
,,13.03.2021,19.03.2021,Manisa,65
,,13.03.2021,19.03.2021,Mardin,17
,,13.03.2021,19.03.2021,Içel,81
,,13.03.2021,19.03.2021,Muğla,92
,,13.03.2021,19.03.2021,Muş,21
,,13.03.2021,19.03.2021,Nevşehir,79
,,13.03.2021,19.03.2021,Niğde,104
,,13.03.2021,19.03.2021,Ordu,259
,,13.03.2021,19.03.2021,Osmaniye,199
,,13.03.2021,19.03.2021,Rize,202
,,13.03.2021,19.03.2021,Sakarya,124
,,13.03.2021,19.03.2021,Samsun,509
,,13.03.2021,19.03.2021,Siirt,14
,,13.03.2021,19.03.2021,Sinop,309
,,13.03.2021,19.03.2021,Sivas,56
,,13.03.2021,19.03.2021,Şanlıurfa,18
,,13.03.2021,19.03.2021,Şırnak,8
,,13.03.2021,19.03.2021,Tekirdağ,168
,,13.03.2021,19.03.2021,Tokat,249
,,13.03.2021,19.03.2021,Trabzon,247
,,13.03.2021,19.03.2021,Tunceli,64
,,13.03.2021,19.03.2021,Uşak,19
,,13.03.2021,19.03.2021,Van,27
,,13.03.2021,19.03.2021,Yalova,275
,,13.03.2021,19.03.2021,Yozgat,93
,,13.03.2021,19.03.2021,Zonguldak,81
